,code,name
0,000157,中联重科
1,000413,东旭光电
2,000553,安道麦A
3,000703,恒逸石化
4,000786,北新建材
5,000858,五 粮 液
6,000895,双汇发展
7,000898,鞍钢股份
8,002027,分众传媒
9,002044,美年健康
10,002081,金螳螂
11,002120,韵达股份
12,002252,上海莱士
13,002310,东方园林
14,300015,爱尔眼科
15,600004,白云机场
16,600015,华夏银行
17,600027,华电国际
18,600028,中国石化
19,600029,南方航空
20,600048,保利地产
21,600085,同仁堂
22,600089,特变电工
23,600100,同方股份
24,600118,中国卫星
25,600196,复星医药
26,600346,恒力股份
27,600362,江西铜业
28,600482,中国动力
29,600489,中金黄金
30,600498,烽火通信
31,600516,方大炭素
32,600570,恒生电子
33,600583,海油工程
34,600741,华域汽车
35,600886,国投电力
36,601390,中国中铁
37,601601,中国太保
38,601788,光大证券
39,601939,建设银行
