date,code,open,close,high,low,volume,amount,turn
2010-01-04,sh.600157,19.3500,18.9700,19.5000,18.8500,5132782,97725348.0000,3.833324
2010-01-05,sh.600157,19.1000,19.9900,20.0000,19.1000,9473057,186128224.0000,7.074778
2010-01-06,sh.600157,20.0800,19.6800,20.8200,19.6600,7799073,157786263.0000,5.824594
2010-01-07,sh.600157,19.8000,19.0500,19.9800,18.9700,5391410,103800923.0000,4.026475
2010-01-08,sh.600157,18.8500,19.1300,19.5300,18.2500,6663909,126133932.0000,4.976818
2010-01-11,sh.600157,19.3000,19.5500,19.9500,18.9000,5690888,111452310.0000,4.250135
2010-01-12,sh.600157,19.4100,21.4900,21.5100,19.4100,14922794,309918039.0000,11.144814
2010-01-13,sh.600157,20.7600,20.8900,21.4200,20.5000,10170186,212117277.0000,7.595416
2010-01-14,sh.600157,20.7900,20.8500,21.0200,20.5000,4718454,97909502.0000,3.523891
2010-01-15,sh.600157,20.6300,20.9800,21.6600,20.6300,5112112,108396961.0000,3.817887
2010-01-18,sh.600157,20.9800,20.8400,21.2400,20.6500,2986806,62130859.0000,2.230641
2010-01-19,sh.600157,20.8400,21.2000,21.4500,20.6000,4002440,84736036.0000,2.989149
2010-01-20,sh.600157,21.4200,19.9500,21.4200,19.9400,4465919,91616246.0000,3.335289
2010-01-21,sh.600157,19.8500,19.3600,20.1700,18.7100,5616221,108519802.0000,4.194371
2010-01-22,sh.600157,19.1500,19.0400,19.2800,18.6000,3417227,64542246.0000,2.552093
2010-01-25,sh.600157,18.8000,18.1600,19.3000,18.1100,3123780,57975056.0000,2.332938
2010-01-26,sh.600157,18.1700,17.2100,18.5300,16.6700,5474737,95049024.0000,4.088707
2010-01-27,sh.600157,17.3600,17.7900,18.4000,16.8000,4859915,86016972.0000,3.629538
2010-01-28,sh.600157,17.9000,18.1600,18.3500,17.5300,3089312,55672548.0000,2.307196
2010-01-29,sh.600157,18.0000,18.2200,18.3100,17.9000,2690773,48750119.0000,2.009554
2010-02-01,sh.600157,18.2000,16.9900,18.3000,16.8000,5354536,92107655.0000,3.998937
2010-02-02,sh.600157,17.0000,17.0800,17.7500,17.0000,2793895,48586703.0000,2.086569
2010-02-03,sh.600157,17.1400,18.1400,18.2900,16.4500,5010920,87907096.0000,3.742313
2010-02-04,sh.600157,18.1000,17.9800,18.2300,17.5200,2346887,41963759.0000,1.752729
2010-02-05,sh.600157,17.4000,17.1100,17.4000,17.0200,4056132,69579631.0000,3.029248
2010-02-08,sh.600157,17.1100,17.1100,17.1100,17.1100,0,0.0000,
2010-02-09,sh.600157,17.2000,16.7600,17.3500,16.4800,4195673,70443770.0000,3.133461
2010-02-10,sh.600157,17.0600,16.6000,17.1000,16.4000,4234908,70304686.0000,3.162763
2010-02-11,sh.600157,16.6000,17.0200,17.1900,16.4000,2948819,49984846.0000,2.202271
2010-02-12,sh.600157,17.0900,17.1400,17.2000,17.0000,1506489,25773244.0000,1.125094
2010-02-22,sh.600157,17.2000,17.2200,17.4400,16.9800,2051202,35235059.0000,1.531902
2010-02-23,sh.600157,17.3600,17.3000,17.3800,16.9200,1667038,28554527.0000,1.244997
2010-02-24,sh.600157,17.2700,17.8700,17.9800,17.0100,2844598,49683818.0000,2.124436
2010-02-25,sh.600157,17.8900,19.0200,19.5600,17.8900,7553889,141361181.0000,5.641483
2010-02-26,sh.600157,18.8100,18.8400,19.2400,18.8100,4449284,84549753.0000,3.322866
2010-03-01,sh.600157,18.7200,19.4400,19.5600,18.7200,6368941,122594244.0000,4.756526
