date,code,open,close,high,low,volume,amount,turn
2010-01-04,sz.300017,42.8800,42.4700,43.1000,41.8000,1186550,50253373.4900,6.448641
2010-01-05,sz.300017,42.4200,42.9000,43.1500,41.5000,1327862,56211832.4200,7.216641
2010-01-06,sz.300017,42.9100,41.5500,42.9200,41.5000,1420980,59758822.8400,7.722717
2010-01-07,sz.300017,41.4900,40.8500,42.0900,40.4500,1215675,50154657.9400,6.606929
2010-01-08,sz.300017,40.7800,40.0800,40.7800,39.3000,1219160,48596026.1800,6.625870
2010-01-11,sz.300017,40.0000,41.2400,41.9500,39.5800,1547117,63400247.5200,8.408245
2010-01-12,sz.300017,41.5000,41.6000,42.4000,41.1200,1312434,54844909.2100,7.132793
2010-01-13,sz.300017,41.1000,43.0000,43.1500,41.0300,1954490,82815423.0400,10.622228
2010-01-14,sz.300017,44.2000,45.0000,47.0000,44.2000,3090322,140855027.4300,16.795228
2010-01-15,sz.300017,44.5000,43.8900,45.4500,43.3000,1736928,76729651.2300,9.439826
2010-01-18,sz.300017,44.1500,45.1100,45.3700,44.1500,1389024,62292276.7800,7.549043
2010-01-19,sz.300017,45.0000,43.3600,45.0000,43.0200,1330217,58100743.1400,7.229440
2010-01-20,sz.300017,43.0400,40.5200,43.3000,40.2000,1420594,58880348.9300,7.720620
2010-01-21,sz.300017,40.5800,41.0200,41.5800,40.5200,731659,30043497.4700,3.976408
2010-01-22,sz.300017,40.4800,39.2800,40.8000,38.6500,1088082,42705579.3200,5.913489
2010-01-25,sz.300017,39.0000,38.8000,39.9000,38.2000,773241,30227562.7400,4.202397
2010-01-26,sz.300017,39.0100,38.2800,39.9300,37.8100,772090,30094656.5100,4.196141
2010-01-27,sz.300017,38.0900,38.3600,39.0000,38.0900,483943,18594973.4100,2.630125
2010-01-28,sz.300017,38.2000,36.4700,38.3600,35.7000,1093260,39979018.9900,5.941630
2010-01-29,sz.300017,36.0000,36.3000,37.5000,35.9800,735580,26990720.1300,3.997717
2010-02-01,sz.300017,32.7000,33.1800,36.2900,32.6700,3697006,122507144.8100,16.073939
2010-02-02,sz.300017,33.0300,32.7700,33.7500,32.7000,1443401,47642244.9400,6.275657
2010-02-03,sz.300017,33.0100,31.9900,33.0100,30.0600,1422316,44663962.6200,6.183983
2010-02-04,sz.300017,31.6200,31.8500,32.4700,31.3200,973551,31115591.0600,4.232830
2010-02-05,sz.300017,31.3000,31.7800,32.4700,31.0100,900375,28587029.4800,3.914674
2010-02-08,sz.300017,31.9800,32.4000,32.7500,31.7800,959480,31078504.5700,4.171652
2010-02-09,sz.300017,32.0500,32.0800,32.3900,31.5300,489763,15608274.5400,2.129404
2010-02-10,sz.300017,32.1500,33.4300,33.6100,32.1500,1209455,39891519.3300,5.258500
2010-02-11,sz.300017,33.5700,34.6000,34.6600,33.0300,1601296,54349731.6000,6.962157
2010-02-12,sz.300017,34.5500,35.5300,35.9900,34.0200,1178552,41258772.4400,5.124139
2010-02-22,sz.300017,35.5000,34.2400,35.5000,34.2400,992245,34467657.8000,4.314109
2010-02-23,sz.300017,34.1600,34.7800,34.7900,33.7700,832915,28538118.6100,3.621370
2010-02-24,sz.300017,33.9000,36.4700,36.6000,33.5000,2901943,102505195.8200,12.617143
2010-02-25,sz.300017,36.2800,36.2100,36.5700,35.7300,2348103,84764226.1900,10.209143
2010-02-26,sz.300017,35.9800,35.4100,35.9800,35.3800,1486986,53075225.1400,6.465157
2010-03-01,sz.300017,35.0000,35.7900,35.8300,34.8200,1208563,42976543.3800,5.254622
2010-03-02,sz.300017,35.8000,36.0200,36.7800,35.6500,1593488,57857406.9200,6.928209
2010-03-03,sz.300017,36.0100,35.1800,36.0100,35.0300,1415405,50146288.9900,6.153935
2010-03-04,sz.300017,35.1000,33.2700,35.4200,32.9800,1587664,54251157.6200,6.902887
2010-03-05,sz.300017,33.3100,33.6600,33.9400,33.1400,1052579,35403831.4900,4.576430
2010-03-08,sz.300017,33.8800,34.1000,34.4500,33.5000,836622,28494602.0700,3.637487
2010-03-09,sz.300017,34.1000,33.9000,34.1000,33.2000,762306,25749063.7200,3.314374
2010-03-10,sz.300017,33.5000,34.0500,34.3800,33.4000,1002329,33929187.0100,4.357952
2010-03-11,sz.300017,33.4200,33.9900,33.9900,32.4200,2435952,80713303.6200,10.591096
2010-03-12,sz.300017,33.7000,34.9900,36.1500,33.5000,3791934,132888279.8900,16.486670
2010-03-15,sz.300017,34.7000,36.5000,36.5100,34.7000,2899635,103264050.9100,12.607109
2010-03-16,sz.300017,36.5000,35.5100,36.5000,34.9800,1960939,69785988.3100,8.525822
2010-03-17,sz.300017,35.4700,36.1700,36.2800,35.0000,2006450,71912315.9600,8.723696
2010-03-18,sz.300017,36.1700,36.4500,36.7700,35.6100,2423850,87934725.1300,10.538478
2010-03-19,sz.300017,36.4500,36.1300,36.6000,35.8000,1403713,50793710.6500,6.103100
2010-03-22,sz.300017,36.0000,36.6300,36.7500,35.5800,1816182,65713302.8500,7.896443
2010-03-23,sz.300017,36.1700,37.0000,37.1500,35.5000,2689925,98110438.1200,11.695326
