25.4万,451,A股三大股指集体小幅收涨 稀土永磁概念股掀涨停潮,财经评论,05-16 15:00
47.2万,697,华为回应说美国限制华为不会让美国更安全,财经评论,05-16 10:08
13.6万,79,财政部部长刘昆：加力提效实施积极的财政政策,财经评论,05-16 14:39
77.8万,253,应对外来压力 昨日国务院常务会议定了两件大事,财经评论,05-16 07:25
767万,412,炒股理财选东方财富证券，7×24小时股票快捷开户，把握,东方财富网,05-06 10:41
72876,192, 【¥88.00】调整以来首个红周四，意味着什么？,东方财富网,05-16 00:00
739,0,中国太保(601601)融资融券信息(05-15),中国太保资讯,05-16 07:40
242,0,中国太保05月16日资金揭秘,资金解密,05-16 16:13
343,0,为什么太保就是不涨 因为看好的散户太多。 垃圾股为什,股友hVR79o,05-16 15:20
235,0,完全背离大盘和板块，垃圾中的垃圾,遇爱无缘,05-16 14:58
323,1,反弹再多也没这货的份！十天倒有九天在垫底。,向松祚火线入股,05-16 14:50
251,0,游资操纵股价、快速获利的心理和战法[减仓][看空][卖,千般拉高为出货,05-16 14:40
272,0,还是找机会去买康美药业好,青草芳华,05-16 14:25
228,0,康美涨停．．．,青草芳华,05-16 14:05
286,0,做空已经不行了，何必拿太保撒气？,闲庭信步2018,05-16 13:59
387,1,这是要把散户都磨走，没量，都是散户玩，机构没动。,计划好去海边,05-16 13:45
277,0,买点放着，作科创板申购的底仓,青草芳华,05-16 13:39
377,1,为什么每次都是垫底？,向松祚火线入股,05-16 13:16
333,0,这个股票只要是急拉，马上跑就对了。回头还能买回来。,我行我自在,05-16 11:18
351,0,你咋就想垃圾股似的上蹿下跳。,股友enztjz,05-16 09:41
1321,12,太保涨的没平安快，跌的比平安快，为何还有人选择买它,sss02115,05-16 09:26
349,0,中国太保：融资净偿还2885.64万元，融资余额14.16亿元,财经评论,05-16 09:15
635,0,中国太保05月15日获沪股通减仓153.35万股,聚焦沪深港,05-16 08:03
794,0,好股，挣了不少钱，十五日国资大举入市将有大行情，五,港澳发展,05-16 01:50
1122,4,如果明天突破不了34.12，那么就大概率回调，做好空的,大浪淘金18888,05-15 20:35
1049,0,中国太保05月15日资金揭秘,资金解密,05-15 16:14
1527,2,尾盘跑吧，明天大跌,我行我自在,05-15 14:45
778,0,只要反弹不缺席，我就永远不担心,目标4500点,05-15 13:06
724,0,呦呦,第二冲击波,05-15 11:47
912,1,主力大佬不如拉人保，不然早涨停了,股友4l7wEw,05-15 11:24
708,0,泥玛，废物，能不能坚挺点。,股友MxhTr69461,05-15 11:20
904,0,汉奸出来了。,我行我自在,05-15 11:08
715,0,继续加油，我为你打气，冲啊………,股友MxhTr69461,05-15 10:44
791,0,发射咯，保费增加这么多，涨点都符合市场，加一点,大浪淘金18888,05-15 09:17
1094,0,中国太保05月14日获沪股通减仓263.42万股,聚焦沪深港,05-15 08:02
746,0,中国太保：融资净买入706.34万元，融资余额14.45亿元,财经评论,05-15 07:45
1515,0,中国太保(601601)融资融券信息(05-14),中国太保资讯,05-15 07:41
1369,0,消息利好，先来个两三层仓位，小步进来。太保首四个月,大浪淘金18888,05-14 20:16
2581,0,太保首四个月寿险保费增加4.8％ 产险升近12％,中国太保资讯,05-14 17:48
1683,7,有没有比我高的，36.10,股友yjXo7p,05-14 17:34
2065,0,中国太保：前4月保费收入1484亿元,中国太保资讯,05-14 17:03
948,0,明天等待时机,十九遇你,05-14 16:57
851,0,耐心持股,十九遇你,05-14 16:57
9135,7,601601:中国太保保费收入公告,中国太保资讯,05-14 16:37
943,1,此股已废。,股友MxhTr69461,05-14 16:31
911,0,中国太保05月14日资金揭秘,资金解密,05-14 16:12
846,0,32左右进了2000股！,大漠响尾蛇,05-14 12:36
969,1,跌到30我多加点！,大漠响尾蛇,05-14 12:36
847,0,什么时候分红啊？,大漠响尾蛇,05-14 12:35
892,0,现在属于阶段性底部维稳，不破支撑位都不怕，毕竟现在,大浪淘金18888,05-14 11:41
1822,1,A股银行保险五日“失血”66亿 哪类资金在“跑路”？,信阳东方红大道证券营业部,05-14 11:40
1204,3,各位对不住了老夫先撤了。这样维稳，是怕引起恐慌。之,转折是必然,05-14 11:13
706,0,争点气，别家的股都五个点了。,阿尔法a,05-14 10:06
620,0,兄弟加油,大浪淘金18888,05-14 09:56
671,0,砸盘开始,木乃伊3,05-14 09:46
2124,1,A股银行保险五日“失血”66亿 哪类资金在“跑路”？,福建分公司,05-14 09:25
952,0,资讯速递|“健康态 慧生活” 中国太保寿险2019年客户,国联安基金,05-14 09:17
820,0,中国太保：融资净偿还140.38万元，融资余额14.38亿元,财经评论,05-14 07:54
1620,0,中国太保(601601)融资融券信息(05-13),中国太保资讯,05-14 07:41
1117,0,中国太保05月13日资金揭秘,资金解密,05-13 16:12
2168,3,“健康态 慧生活” 中国太保寿险2019年客户服务节盛大,财经评论,05-13 15:26
1217,1,现在这价格是机会大于风险吧,延边卡卡,05-13 15:07
1197,0,中国太保寿险发布“健康态”保险服务生态圈,国联安基金,05-13 14:36
4223,19,36.28进的，这还有机会解套吗,韭菜站岗,05-13 14:05
805,0,尼玛币的，跌了八块钱了还不够啊？,股友enztjz,05-13 14:04
1018,1,生日快乐！我家的保险选择了你，加油加油！,csyk1969,05-13 12:38
3652,8,保险股中就中国太保最差吗？目前只有中国太保只比发行,股友hVR79o,05-13 12:06
802,0,今天跌2.8，今天是太平洋28岁生日,小黑屋111,05-13 11:55
1456,2,这货到底是出货还是吸筹？,飞小来也,05-13 10:41
1555,10,我就问你们一句话，你们怕不怕，,大浪淘金18888,05-13 10:29
1218,1,为毛最近总是保险股垫底？为毛之前专假还天天死命推荐,向松祚火线入股,05-13 09:56
867,0,中国太保：融资净偿还4683.43万元，融资余额14.4亿元,财经评论,05-13 07:06
1162,0,反弹时有你就行了，始终看好你太保，为国加油！,目标4500点,05-12 18:25
