date,open,close,high,low,code
2013-09-02,5.384,5.301,5.49,5.289,600000
2013-09-03,5.295,5.372,5.39,5.254,600000
2013-09-04,5.342,5.401,5.46,5.336,600000
2013-09-05,5.431,5.395,5.431,5.354,600000
2013-09-06,5.407,5.655,5.833,5.39,600000
2013-09-09,6.075,6.223,6.223,6.016,600000
2013-09-10,6.501,6.737,6.79,6.365,600000
2013-09-11,6.625,6.66,6.778,6.619,600000
2013-09-12,6.678,7.239,7.328,6.595,600000
2013-09-13,7.139,7.038,7.251,6.932,600000
2013-09-16,7.091,6.79,7.103,6.636,600000
2013-09-17,6.743,6.4,6.784,6.365,600000
2013-09-18,6.471,6.501,6.613,6.4,600000
2013-09-23,6.53,6.607,6.619,6.382,600000
2013-09-24,6.613,6.388,6.619,6.246,600000
2013-09-25,6.347,6.371,6.607,6.317,600000
2013-09-26,6.353,6.01,6.359,5.951,600000
2013-09-27,5.975,6.051,6.105,5.939,600000
2013-09-30,6.111,5.963,6.128,5.921,600000
2013-10-08,5.927,6.046,6.105,5.839,600000
2013-10-09,5.969,6.069,6.181,5.951,600000
2013-10-10,6.087,5.898,6.116,5.868,600000
2013-10-11,5.969,6.235,6.294,5.91,600000
2013-10-14,6.176,6.081,6.205,6.057,600000
2013-10-15,6.087,5.975,6.116,5.921,600000
2013-10-16,5.963,5.856,5.963,5.803,600000
2013-10-17,5.915,5.803,5.951,5.797,600000
2013-10-18,5.803,5.839,5.945,5.791,600000
2013-10-21,5.88,5.98,6.004,5.791,600000
2013-10-22,5.975,5.868,5.975,5.827,600000
2013-10-23,5.88,5.921,6.116,5.856,600000
2013-10-24,5.886,5.898,6.004,5.803,600000
2013-10-25,5.915,5.951,6.063,5.904,600000
2013-10-28,5.957,5.998,6.04,5.862,600000
2013-10-29,6.04,6.193,6.317,6.016,600000
2013-10-30,6.193,6.258,6.276,6.093,600000
2013-10-31,6.252,6.105,6.264,6.093,600000
2013-11-01,6.099,6.158,6.223,6.046,600000
2013-11-04,6.193,6.087,6.229,6.063,600000
2013-11-05,6.04,6.028,6.057,5.933,600000
2013-11-06,5.951,5.927,6.028,5.91,600000
2013-11-07,5.957,5.939,6.022,5.892,600000
2013-11-08,5.921,5.898,5.969,5.868,600000
2013-11-11,5.904,5.892,5.921,5.85,600000
2013-11-12,5.915,5.98,6.022,5.91,600000
2013-11-13,5.933,5.697,5.939,5.691,600000
2013-11-14,5.673,5.608,5.72,5.549,600000
2013-11-15,5.608,5.72,5.821,5.602,600000
2013-11-18,5.762,5.969,5.975,5.709,600000
2013-11-19,5.969,5.892,5.969,5.88,600000
2013-11-20,5.915,5.939,6.016,5.892,600000
2013-11-21,5.91,5.951,5.957,5.78,600000
2013-11-22,5.939,5.945,5.975,5.898,600000
2013-11-25,5.904,5.868,5.975,5.862,600000
2013-11-26,5.85,5.85,5.927,5.839,600000
2013-11-27,5.833,5.868,5.957,5.768,600000
2013-11-28,5.88,5.886,5.945,5.85,600000
2013-11-29,5.945,5.904,5.98,5.886,600000
2013-12-02,5.969,6.099,6.111,5.904,600000
2013-12-03,6.069,6.063,6.111,5.992,600000
2013-12-04,6.051,6.146,6.246,6.028,600000
2013-12-05,6.146,6.116,6.17,6.075,600000
2013-12-06,6.111,6.04,6.111,5.986,600000
2013-12-09,6.034,5.975,6.057,5.957,600000
2013-12-10,5.98,5.992,6.034,5.957,600000
2013-12-11,5.975,5.868,5.986,5.856,600000
2013-12-12,5.856,5.839,5.886,5.833,600000
2013-12-13,5.815,5.809,5.821,5.774,600000
2013-12-16,5.821,5.756,5.892,5.744,600000
2013-12-17,5.768,5.726,5.774,5.709,600000
2013-12-18,5.738,5.738,5.791,5.72,600000
2013-12-19,5.762,5.679,5.78,5.673,600000
2013-12-20,5.691,5.531,5.697,5.52,600000
2013-12-23,5.561,5.52,5.602,5.502,600000
2013-12-24,5.537,5.52,5.561,5.466,600000
2013-12-25,5.514,5.478,5.525,5.407,600000
