date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-01-02,sh.601601,41.5800,41.9100,42.6500,41.1500,30557339,1282868566.0000,0.486063,2.797684,1.183007
2018-01-03,sh.601601,42.0200,40.6600,42.5500,40.4300,41635915,1723716374.0000,0.662286,2.714241,-2.982582
2018-01-04,sh.601601,40.7300,39.7800,40.9700,39.5200,57472560,2300686906.0000,0.914193,2.655497,-2.164292
2018-01-05,sh.601601,40.0800,39.5200,40.2500,39.4400,31347254,1246952699.0000,0.498628,2.638141,-0.653591
2018-01-08,sh.601601,39.6500,38.8500,39.7800,38.1700,52488753,2031631451.0000,0.834917,2.593415,-1.695349
2018-01-09,sh.601601,39.0000,38.9300,39.4900,38.6800,41408897,1619053867.0000,0.658675,2.598756,0.205925
2018-01-10,sh.601601,38.7000,38.7400,39.1400,38.3000,35773683,1381592664.0000,0.569038,2.586072,-0.488052
2018-01-11,sh.601601,38.6100,39.1200,39.4000,38.4600,32807230,1281803809.0000,0.521851,2.611439,0.980891
2018-01-12,sh.601601,39.2000,40.3400,40.4400,39.0400,42273147,1682590197.0000,0.672422,2.692879,3.118613
2018-01-15,sh.601601,40.5000,42.4500,42.5400,40.5000,69973165,2927674883.0000,1.113035,2.833732,5.230542
2018-01-16,sh.601601,42.3400,41.6500,42.4500,41.3100,45327879,1898896226.0000,0.721012,2.780328,-1.884568
2018-01-17,sh.601601,41.5300,41.5300,42.7000,41.0900,39729994,1665215929.0000,0.631969,2.772317,-0.288122
2018-01-18,sh.601601,42.0300,41.2300,42.8700,40.9000,44905249,1880041891.0000,0.714290,2.752291,-0.722368
2018-01-19,sh.601601,41.5100,41.0400,41.7900,40.7700,32260875,1330720882.0000,0.513161,2.739608,-0.460826
2018-01-22,sh.601601,41.1600,41.2000,42.0000,40.9100,36432096,1506435739.0000,0.579511,2.750288,0.389863
2018-01-23,sh.601601,41.8500,40.9700,42.2500,40.8900,49172216,2040923571.0000,0.782163,2.734935,-0.558251
2018-01-24,sh.601601,41.3000,39.7700,41.6900,39.4800,45641987,1840926503.0000,0.726009,2.654829,-2.928974
2018-01-25,sh.601601,39.7000,39.2500,39.7000,38.4000,46236925,1796703190.0000,0.735472,2.620117,-1.307519
2018-01-26,sh.601601,39.1500,39.8800,40.4200,38.8800,41237468,1632868756.0000,0.655948,2.662172,1.605098
2018-01-29,sh.601601,39.9200,38.4400,40.3500,38.3900,37513949,1469338050.0000,0.596719,2.566046,-3.610839
2018-01-30,sh.601601,38.1700,38.2400,38.8100,38.0300,19216406,738414712.0000,0.305668,2.552695,-0.520284
2018-01-31,sh.601601,38.0000,39.5300,39.5800,37.9200,31885483,1244766079.0000,0.507190,2.638808,3.373423
2018-02-01,sh.601601,39.4000,40.0400,40.2500,38.8800,36331004,1438485526.0000,0.577903,2.672853,1.290165
2018-02-02,sh.601601,39.7000,41.2800,41.5900,39.6000,36069500,1468572461.0000,0.573743,2.755629,3.096898
2018-02-05,sh.601601,40.5200,43.0700,43.3800,40.5200,51548193,2182834233.0000,0.819956,2.875119,4.336243
2018-02-06,sh.601601,42.0000,42.8500,43.3300,41.7200,61512099,2611785458.0000,0.978448,2.860433,-0.510799
2018-02-07,sh.601601,43.2000,42.5400,44.2200,41.3000,49261197,2112477628.0000,0.783578,2.839740,-0.723448
2018-02-08,sh.601601,42.0800,40.8300,42.4000,39.6400,37750116,1541856114.0000,0.600476,2.725589,-4.019744
2018-02-09,sh.601601,39.4600,37.3300,39.7800,36.7500,59431624,2226987642.0000,0.945355,2.491948,-8.572127
2018-02-12,sh.601601,37.4000,36.8900,37.5100,35.8400,31092892,1146458645.0000,0.494582,2.462576,-1.178683
2018-02-13,sh.601601,37.5000,38.6100,39.1900,37.5000,30395627,1170248929.0000,0.483491,2.577394,4.662514
2018-02-14,sh.601601,38.6500,38.9500,39.4500,38.1100,13796180,535739784.0000,0.219450,2.600091,0.880601
2018-02-22,sh.601601,39.4000,40.5300,40.6600,39.4000,15201312,609932268.0000,0.241801,2.705563,4.056478
2018-02-23,sh.601601,40.8900,41.4700,41.9800,40.2600,16139878,668851212.0000,0.256731,2.768312,2.319276
2018-02-26,sh.601601,41.7000,42.5100,42.5900,41.0700,21517975,904175770.0000,0.342278,2.837737,2.507830
2018-02-27,sh.601601,42.6000,41.8000,42.7000,41.3800,17330582,723353791.0000,0.275671,2.790341,-1.670193
2018-02-28,sh.601601,41.0000,40.0300,41.3000,39.9800,16935386,684442901.0000,0.269384,2.672186,-4.234451
2018-03-01,sh.601601,39.7600,40.1800,40.8800,39.5900,17164832,693166635.0000,0.273034,2.682199,0.374723
2018-03-02,sh.601601,39.5000,38.9000,39.8500,38.6500,21780666,850620174.0000,0.346456,2.596753,-3.185662
2018-03-05,sh.601601,39.0000,39.0200,39.4500,38.2300,16910888,656381392.0000,0.268995,2.604763,0.308480
2018-03-06,sh.601601,39.3500,40.3900,40.4200,38.6600,18253829,723746032.0000,0.290356,2.696217,3.511017
2018-03-07,sh.601601,40.3100,39.4400,40.7900,39.1300,18200192,727205204.0000,0.289503,2.632800,-2.352069
2018-03-08,sh.601601,39.3100,40.0700,40.4600,39.3000,15408364,616570047.0000,0.245095,2.674856,1.597366
2018-03-09,sh.601601,40.1300,40.2900,40.7500,39.8200,11619399,468167246.0000,0.184825,2.689542,0.549042
2018-03-12,sh.601601,40.8000,40.0000,40.9900,39.7800,18196118,733639026.0000,0.289438,2.670183,-0.719784
2018-03-13,sh.601601,39.9200,38.8200,40.2400,38.6000,18199182,713699529.0000,0.289487,2.591413,-2.950001
2018-03-14,sh.601601,38.5100,38.9800,39.2000,38.5000,13156612,511565143.0000,0.209277,2.602093,0.412158
2018-03-15,sh.601601,38.6700,40.2800,40.3000,38.6700,22827193,910352515.0000,0.363103,2.688874,3.335042
2018-03-16,sh.601601,40.5500,40.7600,41.7700,40.3900,24466885,1008177261.0000,0.389185,2.720916,1.191657
2018-03-19,sh.601601,40.7300,42.0400,42.1000,40.6500,18974395,787487485.0000,0.301818,2.806362,3.140340
2018-03-20,sh.601601,41.5100,41.6600,42.0400,41.2600,13506207,562163617.0000,0.214838,2.780995,-0.903904
2018-03-21,sh.601601,42.4800,40.3900,42.8100,39.8100,22203483,913119894.0000,0.353182,2.696217,-3.048489
2018-03-22,sh.601601,40.0100,39.4600,40.4800,38.6600,26633258,1044258602.0000,0.423644,2.634135,-2.302551
2018-03-23,sh.601601,37.7900,39.2600,39.2900,37.7000,33028137,1273560510.0000,0.525365,2.620785,-0.506844
2018-03-26,sh.601601,38.8900,36.8900,38.8900,36.2300,40476877,1504041363.0000,0.643849,2.462576,-6.036676
2018-03-27,sh.601601,37.5000,36.1400,37.5900,35.5600,50697629,1835633209.0000,0.806427,2.412510,-2.033072
2018-03-28,sh.601601,35.5200,34.4100,36.1200,34.1500,43416288,1522546144.0000,0.690605,2.297025,-4.786939
2018-03-29,sh.601601,34.4100,35.1600,35.2800,33.2800,46553652,1597825775.0000,0.740510,2.347091,2.179599
